Title,css146c3p1,cssg5y9jx_divcontainsclass_cssg5y9jx,cssg5y9jx,cssg5y9jx1,cssg5y9jx2,cssg5y9jx3,css146c3p14
According to price  moble is good 😊,5,,5,Mind-blowing purchase,Review for: Color Emerald Green • RAM 4 GB • Storage 64 GB,mohit indora, · 2 months ago
Overall average mobile but look is too good 👍,3,,3,Decent product,Review for: Color Elite Black • RAM 4 GB • Storage 128 GB,, · 1 month ago
"CAMERA IS WORST
BATTERY IS EXCELLENT
PERFORMANCE ONLY DAILY USE
IT IS BEST FOR PARENTS 
CHARGING IT TAKES MORE TIME BECAUSE LONG LASTING OVERALL IT IS A AVERAGE PHONE I WOULD GIVE 3.5/5 RATING",4,,4,Pretty good,Review for: Color Elite Black • RAM 4 GB • Storage 128 GB,Gummi Padma, · 1 month ago
Awesome budget phone!!!,5,,5,Mind-blowing purchase,Review for: Color Emerald Green • RAM 4 GB • Storage 64 GB,Prasanna Basumatary , · 2 months ago
"The display of the phone is very bad, the performance of the phone is very bad, it is very useless, whatever I say about it, its performance is bad, please I will take care of the phone from my side s...",3,,3,Does the job,Review for: Color Emerald Green • RAM 4 GB • Storage 128 GB,, · 1 month ago
"Value for money product 
Good price",4,,4,Really Nice,Review for: Color Elite Black • RAM 4 GB • Storage 64 GB,, · 1 month ago
Superb,5,,5,Perfect product!,Review for: Color Sunset Gold • RAM 4 GB • Storage 64 GB,Flipkart Customer, · 1 month ago
Good phone,5,,5,Terrific,Review for: Color Elite Black • RAM 4 GB • Storage 128 GB,Shibam Chauhan, · 1 month ago
Best quality product in love with this product must buy it for once,5,,5,Brilliant,Review for: Color Elite Black • RAM 4 GB • Storage 128 GB,Gunjan Agrawal, · 10 days ago
Very nice product,5,,5,Awesome,Review for: Color Emerald Green • RAM 4 GB • Storage 64 GB,Flipkart Customer, · 17 days ago
Nice but average phone,3,,3,Decent product,Review for: Color Elite Black • RAM 4 GB • Storage 128 GB,MD SHADAB KASMI, · 2 months ago
