"selection1_name","selection1_url","selection1_Price","selection1_Price_url"
"POCO C85x (Emerald Green, 64 GB)","https://www.flipkart.com/poco-c85x-emerald-green-64-gb/p/itm96bce2b7909b7?pid=MOBHHFC8S2U92G5M&lid=LSTMOBHHFC8S2U92G5MHPVL8Y&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHHFC8S2U92G5M.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true","₹11,499","https://www.flipkart.com/poco-c85x-emerald-green-64-gb/p/itm96bce2b7909b7?pid=MOBHHFC8S2U92G5M&lid=LSTMOBHHFC8S2U92G5MHPVL8Y&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHHFC8S2U92G5M.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true"
"MOTOROLA g67 power 5G (Pantone Parachute, 128 GB)","https://www.flipkart.com/motorola-g67-power-5g-pantone-parachute-128-gb/p/itm983b978f3066a?pid=MOBHFSCEBA7G3HXN&lid=LSTMOBHFSCEBA7G3HXNM6IXLV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHFSCEBA7G3HXN.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true","₹18,999","https://www.flipkart.com/motorola-g67-power-5g-pantone-parachute-128-gb/p/itm983b978f3066a?pid=MOBHFSCEBA7G3HXN&lid=LSTMOBHFSCEBA7G3HXNM6IXLV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHFSCEBA7G3HXN.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true"
"REDMI A5 (Jaisalmer Gold, 64 GB)","https://www.flipkart.com/redmi-a5-jaisalmer-gold-64-gb/p/itm2b4357effaa74?pid=MOBHB2HGH5DCFNWZ&lid=LSTMOBHB2HGH5DCFNWZHAP4LG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHB2HGH5DCFNWZ.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true","₹8,999","https://www.flipkart.com/redmi-a5-jaisalmer-gold-64-gb/p/itm2b4357effaa74?pid=MOBHB2HGH5DCFNWZ&lid=LSTMOBHB2HGH5DCFNWZHAP4LG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHB2HGH5DCFNWZ.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true"
"POCO C85x (Elite Black, 64 GB)","https://www.flipkart.com/poco-c85x-elite-black-64-gb/p/itm0f0a9684d1e33?pid=MOBHHFC8JKRZRGFG&lid=LSTMOBHHFC8JKRZRGFGMCA1D4&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHHFC8JKRZRGFG.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true","₹11,499","https://www.flipkart.com/poco-c85x-elite-black-64-gb/p/itm0f0a9684d1e33?pid=MOBHHFC8JKRZRGFG&lid=LSTMOBHHFC8JKRZRGFGMCA1D4&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHHFC8JKRZRGFG.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true"
"POCO C85x (Emerald Green, 128 GB)","https://www.flipkart.com/poco-c85x-emerald-green-128-gb/p/itm2ed0d15dfc872?pid=MOBHHFC82ZZHCZDX&lid=LSTMOBHHFC82ZZHCZDXWXSVTZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHHFC82ZZHCZDX.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true","₹12,499","https://www.flipkart.com/poco-c85x-emerald-green-128-gb/p/itm2ed0d15dfc872?pid=MOBHHFC82ZZHCZDX&lid=LSTMOBHHFC82ZZHCZDXWXSVTZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHHFC82ZZHCZDX.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true"
"realme P4 Lite 5G (Mosaic Green, 64 GB)","https://www.flipkart.com/realme-p4-lite-5g-mosaic-green-64-gb/p/itm90c243961f214?pid=MOBHHFBUUUQNXRGX&lid=LSTMOBHHFBUUUQNXRGXKR3NYG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHHFBUUUQNXRGX.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true","₹13,499","https://www.flipkart.com/realme-p4-lite-5g-mosaic-green-64-gb/p/itm90c243961f214?pid=MOBHHFBUUUQNXRGX&lid=LSTMOBHHFBUUUQNXRGXKR3NYG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHHFBUUUQNXRGX.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true"
"REDMI Note 15 SE 5G (Crimson Reserve, 128 GB)","https://www.flipkart.com/redmi-note-15-se-5g-crimson-reserve-128-gb/p/itm4981d1c5313df?pid=MOBHHAFATAJXVPAK&lid=LSTMOBHHAFATAJXVPAKPZM5GZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHHAFATAJXVPAK.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true","₹19,999","https://www.flipkart.com/redmi-note-15-se-5g-crimson-reserve-128-gb/p/itm4981d1c5313df?pid=MOBHHAFATAJXVPAK&lid=LSTMOBHHAFATAJXVPAKPZM5GZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHHAFATAJXVPAK.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true"
"ringme R1+ JUMBO","https://www.flipkart.com/ringme-r1-jumbo/p/itmb064fd38b134e?pid=MOBH6AGBJFRYFDDU&lid=LSTMOBH6AGBJFRYFDDUNIW9ZJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBH6AGBJFRYFDDU.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true","₹1,599","https://www.flipkart.com/ringme-r1-jumbo/p/itmb064fd38b134e?pid=MOBH6AGBJFRYFDDU&lid=LSTMOBH6AGBJFRYFDDUNIW9ZJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBH6AGBJFRYFDDU.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true"
"POCO C85x (Sunset Gold, 64 GB)","https://www.flipkart.com/poco-c85x-sunset-gold-64-gb/p/itm6b8cdd362c306?pid=MOBHHFC8MQWQ6ZUH&lid=LSTMOBHHFC8MQWQ6ZUHH1EJLM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHHFC8MQWQ6ZUH.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true","₹11,499","https://www.flipkart.com/poco-c85x-sunset-gold-64-gb/p/itm6b8cdd362c306?pid=MOBHHFC8MQWQ6ZUH&lid=LSTMOBHHFC8MQWQ6ZUHH1EJLM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHHFC8MQWQ6ZUH.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true"
"Ai+ Pulse 1 (Black, 64 GB)","https://www.flipkart.com/ai-pulse-1-black-64-gb/p/itmbb72114516031?pid=MOBHDDQXWA6PBGZJ&lid=LSTMOBHDDQXWA6PBGZJXM5IAG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHDDQXWA6PBGZJ.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true","₹7,999","https://www.flipkart.com/ai-pulse-1-black-64-gb/p/itmbb72114516031?pid=MOBHDDQXWA6PBGZJ&lid=LSTMOBHDDQXWA6PBGZJXM5IAG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=ee17c768-8414-4074-8bec-491225ddcd0b.MOBHDDQXWA6PBGZJ.SEARCH&ppt=None&ppn=None&ssid=t4y4w97als0000001777620052941&qH=eb4af0bf07c16429&ov_redirect=true"
